%
% Comments go after a '%' sign.
%
%
% Relation: Dreams
%
%
% Attributes: 12     Instances: 16800
%
%

@relation Dreams

@attribute '0' numeric
@attribute 'Gender' numeric
@attribute 'Male' numeric
@attribute 'Animal' numeric
@attribute 'Friends' numeric
@attribute 'Family' numeric
@attribute 'Dead&Imaginary' numeric
@attribute 'Aggression/Friendliness' numeric
@attribute 'A/CIndex' numeric
@attribute 'F/CIndex' numeric
@attribute 'S/CIndex' numeric
@attribute 'NegativeEmotions' numeric

@data
10460,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.033333333300000004,0.0,0.0,0.0
15065,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.1,0.0,0.0,0.0
1944,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.15000000000000002,0.09090909090909091,0.0,1.0
17591,1.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.1,0.030303030272727273,0.0,1.0
5934,1.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0
8423,1.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
20799,0.0,1.0,0.0,0.666666667,0.0,0.0,1.0,0.1,0.030303030272727273,0.0,0.0
5508,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.1,0.09090909090909091,0.0,0.0
13617,0.0,0.5,0.0,0.222222222,0.111111111,0.0,0.0,0.0,0.0,0.0,0.0
12741,1.0,0.666666667,0.0,0.166666667,0.0,0.0,0.0,0.0,0.06060606063636364,0.0,1.0
8182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6494,1.0,0.375,0.0,0.047619048,0.095238095,0.0,0.666666667,0.009523809500000001,0.004329004363636363,0.005952381,1.0
15570,1.0,0.428571429,0.076923077,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0
11724,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18144,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0
14714,0.0,0.666666667,0.0,0.222222222,0.0,0.0,1.0,0.022222222200000002,0.0,0.0,0.0
16559,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.04000000000000001,0.0,0.0,1.0
1213,1.0,0.8,0.0,0.25,0.375,0.0,1.0,0.037500000000000006,0.0,0.0,0.0
7290,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,1.0
